0:x=0.000000,y=1.000000
1:x=0.050000,y=1.052542
2:x=0.100000,y=1.110342
3:x=0.150000,y=1.173668
4:x=0.200000,y=1.242805
5:x=0.250000,y=1.318051
6:x=0.300000,y=1.399718
7:x=0.350000,y=1.488135
8:x=0.400000,y=1.583649
9:x=0.450000,y=1.686624
10:x=0.500000,y=1.797442
11:x=0.550000,y=1.916506
12:x=0.600000,y=2.044237
13:x=0.650000,y=2.181082
14:x=0.700000,y=2.327505
15:x=0.750000,y=2.484000
16:x=0.800000,y=2.651082
17:x=0.850000,y=2.829294
18:x=0.900000,y=3.019206
19:x=0.950000,y=3.221419
20:x=1.000000,y=3.436563
Ans:3.665302
